DR3Name;RAdeg;DEdeg;SolID;Source;RandomI;e_RAdeg;e_DEdeg;Plx;e_Plx;RPlx;PM;pmRA;e_pmRA;pmDE;e_pmDE;RADEcor;RAPlxcor;RApmRAcor;RApmDEcor;DEPlxcor;DEpmRAcor;DEpmDEcor;PlxpmRAcor;PlxpmDEcor;pmRApmDEcor;NAL;NAC;NgAL;NbAL;gofAL;chi2AL;epsi;sepsi;Solved;APF;nueff;pscol;e_pscol;RApscolCorr;DEpscolCorr;PlxpscolCorr;pmRApscolCorr;pmDEpscolCorr;MatchObsA;Nper;amax;MatchObs;NewMatchObs;MatchObsrm;IPDgofha;IPDgofhp;IPDfmp;IPDfow;RUWE;SDSk1;SDSk2;SDSk3;SDSk4;SDMk1;SDMk2;SDMk3;SDMk4;Dup;o_Gmag;FG;e_FG;RFG;Gmag;e_Gmag;o_BPmag;FBP;e_FBP;RFBP;BPmag;e_BPmag;o_RPmag;FRP;e_FRP;RFRP;RPmag;e_RPmag;E(BP/RP);NBPcont;NBPblend;NRPcont;NRPblend;Mode;BP-RP;BP-G;G-RP;RV;e_RV;n_RV;o_RV;o_RVd;RVNper;RVS/N;RVgof;RVchi2;RVTdur;RVamp;RVtempTeff;RVtemplogg;RVtemp[Fe/H];Vatmparam;Vbroad;e_Vbroad;o_Vbroad;GRVSmag;e_GRVSmag;o_GRVSmag;RVSS/N;VarFlag;GLON;GLAT;ELON;ELAT;QSO?;Gal?;NSS?;XPcont?;XPsamp?;RVS?;EpochPh?;EpochRV?;MCMCGSP?;MCMCMSC?;And?;PQSO;PGal;PSS;Teff;b_Teff;B_Teff;logg;b_logg;B_logg;[Fe/H];b_[Fe/H];B_[Fe/H];Dist;b_Dist;B_Dist;A0;b_A0;B_A0;AG;b_AG;B_AG;E(BP-RP);b_E(BP-RP);B_E(BP-RP);Lib;HIP;dHIP;nHIP;f_HIP;PS1coid;PS1;dPS1;nPS1;mPS1;f_PS1;SDSS13coid;SDSS13;dSDSS13;nSDSS13;mSDSS13;f_SDSS13;SKYM2;dSKYM2;nSKYM2;mSKYM2;f_SKYM2;TYC2;dTYC2;f_TYC2;TYC2moid;nTYC2;URAT1;dURAT1;f_URAT1;URAT1oid;nURAT1;mURAT1;AllWISE;dAllWISE;f_AllWISE;AllWISEoid;nAllWISE;mAllWISE;APASS9coid;APASS9;dAPASS9;nAPASS9;mAPASS9;f_APASS9;GSC23;dGSC23;f_GSC23;GSC23coid;nGSC23;mGSC23;RAVE5;dRAVE5;f_RAVE5;RAVE5coid;nRAVE5;2MASS;d2MASS;f_2MASS;2MASScoid;n2MASS;m2MASS;RAVE6;dRAVE6;f_RAVE6;RAVE6oid;nRAVE6;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;RADEcorJ2000
Gaia DR3 604908146067299712;132.73547826599;11.63560363420;1636148068921376768;604908146067299712;371024138;0.0173;0.0094;1.1864;0.0199;59.4870;11.310;-10.927;0.022;-2.921;0.016;-0.2311;-0.1348;-0.2127;0.0305;0.1220;0.0605;-0.1090;0.2068;-0.0362;-0.2360;360;0;358;2;-0.5401;3.4123e+02;0.000;0.0000e+00;31;0;1.563;;;;;;;;41;18;0.031396;43;9;0;5.786e-02;1.517e+01;0;0;0.979;2.524e-01;5.498e-01;1.810e-01;2.493e-01;-170.599;9.206;-52.917;-20.949;0;368;48133.95332;9.73854e+00;4.94263e+03;13.981238;0.002764;39;2.62371e+04;2.44596e+01;1.07267e+03;14.291253;0.002968;37;3.12815e+04;2.78033e+01;1.12510e+03;13.509676;0.003901;1.195;0;0;0;1;0;0.781577;0.310015;0.471562;37.96;4.72;2;20;2;13;6.5795e+00;;;870.879;;6000.0;4.0;0.00;222;;;;13.312806;0.074535;18;;NOT_AVAILABLE;215.82838127545;31.74774437492;131.92010122255;-5.80350457708;0;0;0;1;1;0;0;0;0;1;0;0.000000;0.000000;0.999826;6022.1;5969.8;6038.5;4.5025;4.4819;4.5308;-0.1747;-0.2186;-0.1609;705.4359;675.6105;722.0857;0.0826;0.0579;0.0912;0.0697;0.0488;0.0771;0.0373;0.0261;0.0413;PHOENIX;;;;;1221459403;121961327355663210;0.029138;1;0;40;170612896;1237671262272225456;0.019146;1;0;8;;;;;;;;;;;URAT1-509150288;0.043278;40;63892103;1;0;J085056.51+113808.1;0.060970;8;453804183;1;0;38435834;5188564;0.125506;1;0;8;N8X7000170;0.122328;8;619700899;1;0;J085056.5+113808;0.052603;8;451667;1;08505653+1138081;0.084478;8;328193716;1;0;20120419_0850p11_068;0.052603;8;451551;1;132.73552784752;11.63561661621;0.352078;0.258064;-0.2363
Gaia DR3 604912402379032704;132.69631483564;11.71521686091;1636148068921376768;604912402379032704;212130838;0.0171;0.0089;1.1857;0.0197;60.2540;11.619;-11.203;0.021;-3.082;0.016;-0.2309;-0.1057;-0.1631;0.0538;0.1323;0.0700;-0.0738;0.1908;-0.0536;-0.2545;396;0;395;1;-1.5853;3.5002e+02;0.000;0.0000e+00;31;0;1.563;;;;;;;;45;18;0.030593;47;9;0;7.379e-02;1.138e+01;0;0;0.943;3.156e-01;5.771e-01;2.566e-01;2.420e-01;-172.246;8.582;-52.408;-15.871;0;410;47035.87560;8.62109e+00;5.45591e+03;14.006294;0.002762;47;2.55482e+04;2.39670e+01;1.06597e+03;14.320140;0.002970;47;3.06416e+04;2.01742e+01;1.51885e+03;13.532119;0.003846;1.195;0;0;0;0;0;0.788021;0.313846;0.474175;32.03;4.16;2;19;4;14;6.2829e+00;;;902.362;;6000.0;4.0;0.00;222;;;;13.311434;0.056829;16;;NOT_AVAILABLE;215.72447617628;31.74634453308;131.86129555418;-5.73727709843;0;0;0;1;1;0;0;0;1;1;0;0.000000;0.000000;0.999790;5871.1;5859.6;5883.6;4.3566;4.3387;4.3689;-0.2883;-0.2975;-0.2778;823.8358;807.6766;850.0105;0.0169;0.0106;0.0237;0.0142;0.0089;0.0199;0.0076;0.0048;0.0107;PHOENIX;;;;;1223342293;122051326963948743;0.029117;1;0;40;171203964;1237670964308410685;0.036838;1;0;40;;;;;;;;;;;URAT1-509150250;0.048658;40;64153982;1;0;J085047.12+114254.7;0.035769;8;454269415;1;0;;;;;;;N8X7000138;0.044850;8;620227180;1;0;;;;;;08504712+1142547;0.085872;8;328427227;1;0;;;;;;132.69636568793;11.71523055685;0.341709;0.253834;-0.2568
Gaia DR3 604911375882674176;132.82003534411;11.76157130252;1636148068921376768;604911375882674176;183794074;0.0169;0.0094;1.1697;0.0207;56.3919;11.390;-11.007;0.021;-2.929;0.015;-0.2606;-0.0897;-0.1313;0.0135;0.1627;0.0637;-0.0404;0.3306;-0.2084;-0.2184;373;0;370;3;-0.8103;3.4645e+02;0.000;0.0000e+00;31;0;1.539;;;;;;;;43;18;0.030149;45;9;0;7.902e-02;1.253e+01;0;0;0.969;3.449e-01;5.463e-01;3.106e-01;2.498e-01;-176.509;10.803;-55.778;-20.739;0;379;48757.57266;8.03729e+00;6.06642e+03;13.967261;0.002761;35;2.53915e+04;2.25001e+01;1.12851e+03;14.326820;0.002951;31;3.34135e+04;3.90816e+01;8.54967e+02;13.438090;0.003987;1.206;1;1;2;1;0;0.888730;0.359559;0.529171;39.27;4.30;2;16;8;11;8.3829e+00;;;852.950;;5500.0;4.0;0.00;111;;;;13.100112;0.058682;9;;NOT_AVAILABLE;215.73469941189;31.87575275380;131.96581854113;-5.65978759574;0;0;0;1;1;0;0;0;1;1;0;0.000000;0.000000;0.999762;5458.6;5451.7;5467.9;4.2827;4.2752;4.2916;-0.4841;-0.4939;-0.4733;793.1410;780.8864;804.1174;0.0049;0.0013;0.0102;0.0041;0.0011;0.0084;0.0022;0.0005;0.0045;PHOENIX;;;;;1224435651;122111328201194404;0.044886;1;0;8;171544083;1237671262272290972;0.041191;1;0;8;;;;;;;;;;;URAT1-509150371;0.057553;40;64306393;1;0;;;;;;;38490824;5188618;5.266682;1;0;8;N8X7000829;0.652326;8;620533975;1;0;;;;;;08511682+1145416;0.096164;8;328562868;1;0;;;;;;132.82008531462;11.76158431888;0.335985;0.240119;-0.2198
Gaia DR3 604911410242411136;132.82229117975;11.76755335965;1636148068921376768;604911410242411136;1145648329;0.0168;0.0095;1.1107;0.0213;52.0657;11.463;-11.105;0.022;-2.843;0.017;-0.3242;-0.0423;-0.0072;-0.1190;0.1132;-0.0541;0.1162;0.3535;-0.2293;-0.3665;365;0;364;1;2.1896;4.2290e+02;0.034;7.7211e-01;31;0;1.568;;;;;;;;42;17;0.032648;44;8;0;8.542e-02;1.282e+01;0;0;1.082;3.361e-01;5.520e-01;3.178e-01;2.407e-01;-174.368;11.916;-54.622;-20.082;0;370;58073.26973;1.15017e+01;5.04911e+03;13.777426;0.002764;40;3.18820e+04;2.42033e+01;1.31726e+03;14.079677;0.002909;37;3.74437e+04;2.74438e+01;1.36438e+03;13.314447;0.003862;1.194;0;0;0;0;0;0.765229;0.302251;0.462978;35.60;2.91;2;23;4;15;9.5814e+00;;;902.362;;5750.0;4.5;-0.25;101;;;;12.978426;0.045690;19;;NOT_AVAILABLE;215.72939258133;31.88026433755;131.96632105436;-5.65343053766;0;0;0;1;1;0;0;0;1;1;0;0.000000;0.000000;0.999806;5971.9;5957.5;5986.3;4.2569;4.2158;4.2813;-0.3000;-0.3125;-0.2893;899.4072;863.3493;965.4304;0.0414;0.0340;0.0486;0.0350;0.0287;0.0411;0.0188;0.0154;0.0221;PHOENIX;;;;;1224577519;122121328223301559;0.033420;1;0;40;171588103;1237671262272290984;0.043863;1;0;8;;;;;;;;;;;URAT1-509150374;0.055963;40;64326239;1;0;;;;;;;;;;;;;N8X7000815;0.466547;8;620572888;1;0;;;;;;08511736+1146031;0.143137;8;328580465;1;0;;;;;;132.82234159629;11.76756599397;0.347719;0.265105;-0.3601
Gaia DR3 604909653600014976;132.82780032110;11.67685792711;1636148068921376768;604909653600014976;1284060663;0.0186;0.0092;1.2041;0.0209;57.6138;9.676;-7.324;0.023;-6.323;0.015;-0.2406;-0.2828;-0.2179;0.0875;0.1657;0.0717;-0.1343;0.1521;-0.1865;-0.0690;355;0;355;0;-0.5827;3.3736e+02;0.000;0.0000e+00;31;0;1.574;;;;;;;;41;18;0.032044;43;10;0;6.879e-02;1.508e+01;0;0;0.977;4.542e-01;5.880e-01;2.850e-01;2.112e-01;-167.504;7.799;-51.143;-16.631;0;369;51752.18161;1.03414e+01;5.00438e+03;13.902545;0.002764;42;2.86998e+04;2.41529e+01;1.18825e+03;14.193846;0.002936;39;3.31143e+04;2.62400e+01;1.26198e+03;13.447858;0.003876;1.194;0;0;0;0;0;0.745988;0.291301;0.454687;44.94;4.79;2;15;3;9;5.9990e+00;;;851.377;;6000.0;4.5;-0.50;101;;;;13.263239;0.070549;12;;NOT_AVAILABLE;215.82900032241;31.84712786966;131.99630557211;-5.73924746877;0;0;0;0;0;0;0;0;1;1;0;0.000000;0.000000;0.999843;6051.7;6036.9;6065.5;4.3374;4.3066;4.3549;-0.4773;-0.4897;-0.4667;838.0529;816.3061;880.0211;0.0773;0.0705;0.0838;0.0658;0.0599;0.0714;0.0355;0.0323;0.0385;PHOENIX;;;;;1222433739;122011328278712717;0.027791;1;0;40;170918332;1237671262272225786;0.066854;1;0;8;;;;;;;;;;;URAT1-509150388;0.044905;40;64027669;1;0;J085118.67+114036.7;0.029057;8;454044730;1;0;38453410;5188587;0.290752;1;0;8;N8X7000897;0.249113;8;619973132;1;0;;;;;;08511868+1140367;0.089431;8;328314756;1;0;;;;;;132.82783356082;11.67688603070;0.368168;0.247472;-0.0752
Gaia DR3 604909657895767680;132.82930655944;11.67102664949;1636148068921376768;604909657895767680;1375293142;0.0165;0.0082;1.1725;0.0189;61.8891;11.467;-11.075;0.020;-2.973;0.014;-0.2638;-0.3007;-0.1614;0.1373;0.1573;0.0964;-0.1313;0.1517;-0.1935;-0.1231;365;0;363;2;-1.2050;3.2785e+02;0.000;0.0000e+00;31;0;1.575;;;;;;;;42;18;0.027898;44;10;0;7.023e-02;1.498e+01;2;0;0.954;4.579e-01;5.858e-01;2.710e-01;1.980e-01;-166.224;8.602;-49.896;-17.624;0;381;69910.87822;1.37990e+01;5.06636e+03;13.576005;0.002764;41;3.87696e+04;2.97453e+01;1.30339e+03;13.867312;0.002912;38;4.44692e+04;2.12690e+01;2.09080e+03;13.127747;0.003815;1.191;0;1;0;0;0;0.739566;0.291307;0.448258;37.50;3.80;2;20;8;12;9.5515e+00;;;851.377;;6250.0;4.5;0.00;222;;;;12.891605;0.049327;12;;NOT_AVAILABLE;215.83595979079;31.84601878513;131.99932507898;-5.74445837100;0;0;0;0;0;0;0;0;1;1;0;0.000000;0.000000;0.999680;6057.0;6045.3;6069.1;4.2646;4.2451;4.2766;-0.3040;-0.3128;-0.2953;832.5460;816.2416;858.4455;0.0369;0.0307;0.0431;0.0313;0.0260;0.0366;0.0168;0.0140;0.0197;PHOENIX;;;;;1222296375;122001328293965711;0.034770;1;0;40;170875387;1237671262272225785;0.138911;1;0;8;;;;;;;;;;;URAT1-509150392;0.050641;40;64008507;1;0;J085119.04+114015.6;0.075631;8;454010626;1;0;38450958;5188588;0.058474;1;0;8;N8X7000902;0.195834;8;619934413;1;0;J085119.1+114016;0.085438;8;451674;1;08511904+1140156;0.078791;8;328297546;1;0;20120413_0850p11_059;0.085438;8;451558;1;132.82935682041;11.67103986266;0.319237;0.218199;-0.1323
Gaia DR3 604909172563627392;132.72258631903;11.67870353242;1636148068921376768;604909172563627392;998474954;0.0147;0.0080;0.9290;0.0171;54.4031;10.553;3.879;0.018;-9.814;0.014;-0.2728;-0.0873;-0.1816;0.0597;0.1005;0.0756;-0.1010;0.1904;-0.0672;-0.2706;384;0;384;0;-2.2122;3.2225e+02;0.000;0.0000e+00;31;0;1.560;;;;;;;;44;18;0.026777;46;9;0;7.119e-02;1.326e+01;0;0;0.920;2.625e-01;5.587e-01;2.295e-01;2.110e-01;-171.583;11.188;-51.799;-18.751;0;394;71526.53934;1.15706e+01;6.18176e+03;13.551199;0.002761;45;3.86946e+04;2.40416e+01;1.60948e+03;13.869415;0.002871;45;4.70504e+04;1.89770e+01;2.47934e+03;13.066487;0.003805;1.199;0;0;0;0;0;0.802928;0.318216;0.484712;6.55;3.08;2;15;4;12;8.3587e+00;;;701.790;;5750.0;4.5;-0.50;111;;;;12.967871;0.064127;11;;NOT_AVAILABLE;215.77614561929;31.75438078608;131.89613424210;-5.76544624194;0;0;0;1;1;0;0;0;1;1;0;0.000000;0.000000;0.999877;5749.0;5740.1;5755.9;3.8534;3.8471;3.8576;-0.3924;-0.4076;-0.3871;1134.6061;1131.1768;1139.9098;0.0631;0.0581;0.0674;0.0531;0.0488;0.0568;0.0286;0.0263;0.0306;MARCS;;;;;1222477171;122011327226524940;0.025969;1;0;40;170932216;1237671262272225445;0.029966;1;0;8;;;;;;;;;;;URAT1-509150277;0.043897;40;64033728;1;0;J085053.42+114043.3;0.017018;8;454055587;1;0;38454240;5188575;0.053929;1;0;8;N8X7000155;0.040992;8;619985695;1;0;;;;;;08505341+1140434;0.065548;8;328320242;1;0;;;;;;132.72256871579;11.67874715151;0.297817;0.221694;-0.2728
Gaia DR3 604910860486613632;132.77393574801;11.72970120496;1636148068921376768;604910860486613632;15960979;0.0167;0.0095;1.1338;0.0200;56.7156;11.242;-10.945;0.020;-2.566;0.016;-0.3307;-0.1221;-0.1534;0.0390;0.1611;0.0730;-0.0386;0.1852;-0.0023;-0.2829;349;0;349;0;-1.0629;3.1909e+02;0.000;0.0000e+00;31;1;1.543;;;;;;;;40;17;0.029793;42;9;0;7.533e-02;1.313e+01;0;0;0.959;3.526e-01;5.501e-01;2.956e-01;1.831e-01;-175.483;14.420;-54.076;-22.823;0;362;53246.62418;1.65468e+01;3.21794e+03;13.871636;0.002776;38;2.79386e+04;3.12884e+01;8.92939e+02;14.223030;0.003044;36;3.60858e+04;3.20164e+01;1.12710e+03;13.354555;0.003900;1.202;0;1;0;0;0;0.868475;0.351394;0.517081;25.90;10.29;2;22;1;15;8.9613e+00;;;902.362;;6000.0;4.5;-0.25;222;;;;13.103717;0.049892;21;;NOT_AVAILABLE;215.74649423670;31.82141650500;131.93086436260;-5.70271763611;0;0;0;0;0;0;0;0;1;1;0;0.000000;0.000000;0.999680;5560.9;5546.9;5574.9;4.2552;4.2470;4.2639;-0.4392;-0.4539;-0.4242;829.3296;816.1820;841.5041;0.0218;0.0144;0.0291;0.0180;0.0120;0.0241;0.0097;0.0064;0.0129;PHOENIX;;;;;1223684258;122071327740146120;0.029203;1;0;8;171310856;1237670964308476212;0.087492;1;0;40;;;;;;;;;;;URAT1-509150319;0.049364;40;64201465;1;0;J085105.75+114346.9;0.026444;8;454353901;1;0;38476316;5188608;0.015678;1;0;8;N8X7000861;0.164020;8;620322689;1;0;J085105.8+114347;0.083144;8;451677;1;08510576+1143469;0.043069;8;328469511;1;0;20120412_0850p11_059;0.083144;8;451563;1;132.77398543171;11.72971260860;0.329654;0.251257;-0.2851
Gaia DR3 604912715912500480;132.68285138782;11.74197351272;1636148068921376768;604912715912500480;1438585708;0.0166;0.0086;2.2235;0.0192;115.8771;12.607;-11.141;0.021;-5.901;0.015;-0.2443;-0.0962;-0.1765;0.0418;0.1364;0.0674;-0.0609;0.2113;-0.0518;-0.2521;411;0;410;1;1.0039;4.3728e+02;0.000;0.0000e+00;31;0;1.528;;;;;;;;47;18;0.030116;48;9;0;6.220e-02;1.424e+01;0;0;1.035;3.155e-01;5.840e-01;2.637e-01;2.235e-01;-172.836;9.188;-53.646;-15.288;0;411;50916.48952;7.52297e+00;6.76814e+03;13.920220;0.002760;45;2.58916e+04;1.57830e+01;1.64047e+03;14.305645;0.002868;44;3.56767e+04;1.98198e+01;1.80005e+03;13.366935;0.003827;1.209;0;2;0;0;0;0.938710;0.385425;0.553286;-29.24;3.24;2;24;3;16;8.5866e+00;;;902.362;;5250.0;3.5;-0.25;111;;;;13.195341;0.073530;21;;NOT_AVAILABLE;215.68941196070;31.74559230992;131.84125415194;-5.71509527081;0;0;0;1;1;0;0;0;1;1;0;0.000000;0.000000;0.999790;5368.5;5344.7;5436.4;4.5568;4.5246;4.5723;-0.3205;-0.3478;-0.2364;441.9449;435.3184;475.4833;0.0755;0.0594;0.1242;0.0621;0.0488;0.1023;0.0332;0.0261;0.0547;MARCS;;;;;1223974357;122091326829260857;0.034096;1;0;8;171400712;1237670964308410645;0.044624;1;0;40;;;;;;;;;;;URAT1-509150236;0.048901;40;64241683;1;0;J085043.88+114431.1;0.019019;8;454425553;1;0;38481683;5188643;0.095915;1;0;8;N8X7000126;0.061887;8;620403877;1;0;;;;;;08504389+1144311;0.098461;8;328505403;1;0;;;;;;132.68290196159;11.74199974130;0.336953;0.246003;-0.2537
Gaia DR3 604909000764935936;132.72110263209;11.66728398472;1636148068921376768;604909000764935936;1219057832;0.0145;0.0077;1.1413;0.0168;67.8076;11.393;-11.005;0.018;-2.947;0.014;-0.2593;-0.0879;-0.1642;0.0616;0.1125;0.0728;-0.0789;0.1649;-0.0553;-0.2669;394;0;392;2;-1.3620;3.5168e+02;0.000;0.0000e+00;31;0;1.573;;;;;;;;45;18;0.026458;47;9;0;7.381e-02;1.249e+01;0;0;0.951;2.822e-01;5.636e-01;2.447e-01;2.241e-01;-172.684;10.165;-52.882;-17.818;0;402;73461.38832;1.26330e+01;5.81502e+03;13.522219;0.002762;45;4.07316e+04;1.98453e+01;2.05246e+03;13.813715;0.002840;45;4.68472e+04;3.14689e+01;1.48868e+03;13.071187;0.003849;1.192;0;0;0;0;0;0.742528;0.291496;0.451032;36.05;4.55;2;18;4;14;9.8500e+00;;;902.362;;6000.0;4.5;-0.25;101;;;;12.882970;0.047036;15;;NOT_AVAILABLE;215.78761776155;31.74826908207;131.89784183496;-5.77683179831;0;0;0;1;1;0;0;0;0;1;0;0.000000;0.000000;0.999781;6067.5;6058.3;6077.7;4.2362;4.2280;4.2459;-0.2425;-0.2497;-0.2339;853.3334;840.8497;865.4596;0.0418;0.0368;0.0471;0.0354;0.0312;0.0400;0.0190;0.0167;0.0215;PHOENIX;;;;;1222207894;122001327211991225;0.035180;1;0;40;170847766;1237671262272225444;0.044992;1;0;8;;;;;;;;;;;URAT1-509150273;0.045627;40;63996271;1;0;J085053.06+114002.3;0.158788;8;453989069;1;0;38449335;5188574;0.053346;1;0;8;N8X7000159;0.203093;8;619909889;1;0;;;;;;08505308+1140021;0.092385;8;328286724;1;0;;;;;;132.72115257615;11.66729708135;0.295155;0.218720;-0.2695
Gaia DR3 604914223445164416;132.69828638527;11.75634788376;1636148068921376768;604914223445164416;978256760;0.0164;0.0086;1.1846;0.0193;61.4479;11.364;-10.973;0.021;-2.956;0.015;-0.2283;-0.0882;-0.1381;0.0008;0.0856;0.0225;-0.0335;0.2609;-0.1248;-0.3095;363;0;363;0;-1.6843;3.1626e+02;0.000;0.0000e+00;31;0;1.572;;;;;;;;42;18;0.030137;44;8;0;6.926e-02;1.531e+01;0;0;0.937;2.786e-01;5.691e-01;2.318e-01;2.664e-01;-169.229;8.934;-52.008;-16.315;0;376;58435.51894;1.00655e+01;5.80550e+03;13.770675;0.002762;42;3.22976e+04;2.14336e+01;1.50687e+03;14.065616;0.002882;41;3.74133e+04;2.28967e+01;1.63400e+03;13.315331;0.003837;1.193;0;28;0;23;0;0.750285;0.294941;0.455344;33.32;5.10;2;15;3;13;7.0490e+00;;;902.362;;6000.0;4.5;-0.25;101;;;;13.047107;0.070527;12;;NOT_AVAILABLE;215.68150903892;31.76533633819;131.85195689773;-5.69716298362;0;0;0;1;1;0;0;0;1;1;0;0.000000;0.000000;0.999739;6005.5;5990.6;6017.6;4.3123;4.3000;4.3230;-0.3473;-0.3584;-0.3368;825.0687;811.7943;842.2588;0.0366;0.0289;0.0431;0.0310;0.0245;0.0365;0.0167;0.0131;0.0197;PHOENIX;;;;;1224312264;122101326983648099;0.035406;1;0;40;171505570;1237670964308475916;0.084282;1;0;8;;;;;;;;;;;URAT1-509150251;0.048418;40;64289062;1;0;J085047.59+114522.6;0.181279;8;454509174;1;0;38487790;5188659;1.065220;1;0;8;N8X7000120;0.068700;8;620498640;1;0;;;;;;08504760+1145228;0.042853;8;328547530;1;0;;;;;;132.69833619855;11.75636102166;0.330918;0.248242;-0.3077
Gaia DR3 604908863325982976;132.67703242445;11.66371939943;1636148068921376768;604908863325982976;1262094201;0.0144;0.0078;1.1562;0.0172;67.3304;11.295;-10.887;0.019;-3.008;0.014;-0.3492;-0.1514;-0.2703;0.2118;0.1993;0.2188;-0.2483;0.2836;-0.1535;-0.4059;377;9;376;1;1.3923;4.1678e+02;0.000;0.0000e+00;31;0;1.573;;;;;;;;43;17;0.028620;45;9;0;4.942e-02;6.458e+00;0;0;1.051;;;;;;;;;0;385;91575.87899;1.65710e+01;5.52627e+03;13.282914;0.002762;45;5.07693e+04;2.89518e+01;1.75358e+03;13.574538;0.002858;42;5.84151e+04;2.37065e+01;2.46410e+03;12.831583;0.003805;1.192;0;0;0;0;0;0.742955;0.291624;0.451331;31.35;2.33;2;21;2;13;1.2943e+01;;;902.361;;6000.0;4.0;0.00;222;;;;12.642816;0.060062;19;;NOT_AVAILABLE;215.77012179860;31.70759927617;131.85705739544;-5.79196490662;0;0;0;1;1;0;0;0;0;1;0;0.000000;0.000000;0.999680;6128.4;6123.2;6133.4;4.1900;4.1738;4.2021;-0.2192;-0.2238;-0.2149;831.0555;814.5679;852.5964;0.0742;0.0709;0.0775;0.0632;0.0603;0.0659;0.0339;0.0323;0.0354;PHOENIX;;;;;1222123539;121991326771336955;0.026421;1;0;8;170821099;1237671262272160029;0.060209;1;0;8;;;;;;;;;;;URAT1-509150231;0.050433;40;63984631;1;0;J085042.49+113949.3;0.026228;8;453967980;1;0;38447790;5188573;0.024883;1;0;8;N8X7000164;0.130631;8;619886115;1;0;;;;;;08504250+1139493;0.102916;8;328276198;1;0;;;;;;132.67708182987;11.66373276881;0.303113;0.229768;-0.4145
Gaia DR3 604910688686988288;132.74342875908;11.70342849736;1636148068921376768;604910688686988288;1156954405;0.0506;0.0307;1.5964;0.0611;26.1407;13.516;-11.694;0.067;6.778;0.061;-0.4099;0.1355;0.0370;-0.0580;-0.1034;-0.0650;0.0573;0.1983;-0.0233;-0.5064;354;0;329;25;61.7521;5.8601e+03;0.395;1.1493e+02;31;0;1.569;;;;;;;;38;16;0.108627;43;8;0;1.363e-01;1.264e+02;50;0;4.232;1.601e-01;5.599e-01;2.429e-01;1.773e-01;-151.873;16.124;-43.686;-19.978;0;323;69131.32120;6.12814e+01;1.12810e+03;13.588180;0.002919;40;5.47118e+04;3.29936e+02;1.65826e+02;13.493340;0.007117;41;6.72276e+04;5.74633e+02;1.16992e+02;12.679026;0.010020;1.764;0;40;0;41;0;0.814314;-0.094840;0.909154;6.61;6.94;2;6;6;4;5.5128e+00;;;179.082;;5750.0;4.5;-0.50;222;;;;;;;;NOT_AVAILABLE;215.75981916033;31.78328109988;131.90913666867;-5.73611147677;0;0;0;1;1;0;0;0;0;1;0;0.000000;0.000000;0.999989;;;;;;;;;;;;;;;;;;;;;;;;;;;1223063145;122041327434564525;0.091123;1;1;8;171115172;1237670964308475986;0.353832;1;1;72;;;;;;;;;;;URAT1-509150291;0.292085;12;64114974;1;1;J085058.40+114212.1;0.335943;12;454199945;1;1;38464992;5188605;0.398543;1;1;12;N8X7000145;0.392803;12;620148229;1;1;;;;;;08505842+1142120;0.318091;12;328392408;1;1;;;;;;132.74348183719;11.70339837361;1.067509;0.967601;-0.5032
Gaia DR3 604916010151555072;132.72802893283;11.85259143791;1636148068921376768;604916010151555072;892533988;0.0137;0.0079;1.1491;0.0169;68.1043;11.205;-10.819;0.016;-2.914;0.013;-0.3192;-0.1565;-0.1426;0.1374;0.1032;0.1281;-0.1510;0.3587;-0.1403;-0.3000;394;0;390;4;0.0804;3.9061e+02;0.000;0.0000e+00;31;0;1.577;;;;;;;;45;18;0.024549;46;10;0;6.498e-02;1.625e+01;0;0;1.002;2.842e-01;5.540e-01;2.043e-01;2.095e-01;-165.928;12.973;-49.669;-19.222;0;388;82804.45187;1.47145e+01;5.62740e+03;13.392233;0.002762;39;4.61787e+04;3.03272e+01;1.52268e+03;13.677438;0.002880;40;5.25111e+04;2.74951e+01;1.90984e+03;12.947267;0.003822;1.192;0;0;0;0;0;0.730171;0.285205;0.444966;36.79;3.08;2;19;4;15;1.1089e+01;;;902.362;;6000.0;4.5;-0.25;101;;;;12.728803;0.022123;15;;NOT_AVAILABLE;215.59300042780;31.83205806361;131.85389382686;-5.59663087900;0;0;0;1;1;0;0;0;0;1;0;0.000000;0.000000;0.999640;6050.3;6036.2;6061.5;4.0850;4.0525;4.1071;-0.3777;-0.3911;-0.3694;872.0344;846.8948;908.3544;0.0336;0.0263;0.0397;0.0285;0.0224;0.0338;0.0154;0.0120;0.0182;PHOENIX;;;;;1226581605;122221327281153598;0.023720;1;0;8;172210233;1237671125370339452;0.092453;1;0;40;;;;;;;;;;;URAT1-510152968;0.050960;40;64606035;1;0;J085054.73+115109.3;0.022992;8;455072707;1;0;;;;;;;N8X7000085;0.225166;8;621139294;1;0;;;;;;08505474+1151093;0.039578;8;328830697;1;0;;;;;;132.72807806449;11.85260439064;0.265665;0.202195;-0.3080
